,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
HULK/DR. ROBERT BRUC,FIRESTAR/ANGELICA JO,THUNDERBALL/DR. ELIO,NAMORITA/NITA PRENTI,SPEEDBALL/ROBBIE BAL,CAPTAIN AMERICA,THUNDERSTRIKE/ERIC K,NOVA/RICHARD RIDER,GALACTUS/GALAN,WONDER MAN/SIMON WIL,DEATHLOK III/MICHAEL,OBLIVION,WOLVERINE/LOGAN ,SHE-HULK/JENNIFER WA,SILVER SURFER/NORRIN,VISION ,PSYLOCKE/ELISABETH B,MARVEL GIRL/JEAN GRE,STORM/ORORO MUNROE S,ETERNITY/ADAM QADMON,KISMET/J'RIDIA STARD,NIGHT THRASHER/DUANE,IN-BETWEENER,MR. FANTASTIC/REED R,ANGEL/WARREN KENNETH,DEATH,MASTER ORDER,IRON MAN/TONY STARK ,BLACK PANTHER/T'CHAL,SCARLET WITCH/WANDA ,JUBILEE/JUBILATION L,THING/BENJAMIN J. GR,INVISIBLE WOMAN/SUE ,LORD CHAOS,INFINITY II,PUNISHER II/FRANK CA,DR. STRANGE/STEPHEN ,DOLLAR BILL,HELLCAT/PATSY WALKER,NIGHTHAWK II/KYLE RI,DEVIL-SLAYER/ERIC SI,NORRISS SISTER BARB,LOCKJAW [INHUMAN],QUICKSILVER/PIETRO M,CRYSTAL [INHUMAN],BLACK BOLT/BLACKANTO,TRITON,WARLOCK II/ADAM WARL,ANALYZER,MAN-BEAST,BANNER BETTY ROSS T,JUGGERNAUT/CAIN MARK,ROSS GEN. THADDEUS ,ROBERTS TED,ARMBRUSTER COLONEL ,COBALT MAN,BRICKFORD CLAY,MISSING LINK,CYCLOPS/SCOTT SUMMER,HOGAN HAROLD J. HAP,THOMPSON EUGENE FLA,SUB-MARINER/NAMOR MA,THOR/DR. DONALD BLAK,GREEN GOBLIN/NORMAN ,PARKER MAY,BEAST/HENRY &HANK& P,WASP/JANET VAN DYNE ,ICEMAN/ROBERT BOBBY ,SPIDER-MAN/PETER PAR,WONG,JONES RICHARD MILHO,MAD VIKING/KNUT CAIN,ANT-MAN/DR. HENRY J.,DELPHI,LOKI [ASGARDIAN],FANCY DAN,JAMESON J. JONAH,OSBORN LIZ ALLAN,OX,LEEDS BETTY BRANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIGHT THRASHER/DUANE,FIRESTAR/ANGELICA JO,THUNDERBALL/DR. ELIO,NAMORITA/NITA PRENTI,SPEEDBALL/ROBBIE BAL,HULK/DR. ROBERT BRUC,CAPTAIN AMERICA,THUNDERSTRIKE/ERIC K,NOVA/RICHARD RIDER,GALACTUS/GALAN,WONDER MAN/SIMON WIL,DEATHLOK III/MICHAEL,OBLIVION,WOLVERINE/LOGAN ,SHE-HULK/JENNIFER WA,SILVER SURFER/NORRIN,VISION ,PSYLOCKE/ELISABETH B,MARVEL GIRL/JEAN GRE,STORM/ORORO MUNROE S,ETERNITY/ADAM QADMON,KISMET/J'RIDIA STARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIDER-MAN/PETER PAR,FIRESTAR/ANGELICA JO,THUNDERBALL/DR. ELIO,NAMORITA/NITA PRENTI,SPEEDBALL/ROBBIE BAL,HULK/DR. ROBERT BRUC,NIGHT THRASHER/DUANE,VENOM/EDDIE BROCK,ROBERTSON JOE,FORTUNATO GIACOMO J,MORBIUS/DR. MICHAEL ,WATSON-PARKER MARY ,PARKER MAY,WATSON ANNA,JAMESON J. JONAH,DOLMAN,URICH BEN,KWAN TERRY,OVERRIDE/DR. GREGORY,ICEMAN/ROBERT BOBBY ,THOMPSON EUGENE FLA,GRANT GLORIA GLORY,FAIRMONT HANNAH,MCCORMICK BARRY,WARD SEN. STEWART,LEEDS BETTY BRANT,KAINE,ELLIS KEN,SPIDER-MAN CLONE/BEN,GRIM HUNTER/KRAVINOF,BYRNES GAYLE WATSON,TOMBSTONE/LONNIE THO,SPIDERCIDE,RAVEN LT. JACOB,JACK,GREEN GOBLIN IV/PHIL,STACY GWEN (CLONE),TOWER BLAKE,LOCKER MR.,STUNNER/ANGELINA BRA,SPEEDBALL II/DARRION,VULTURE II/BLACKIE D,OSBORN HARRY,STACY CAPT. GEORGE,JACKAL/MILES WARREN,STACY GWEN,SILVERMANE/SILVIO MA,GREEN GOBLIN III/BAR,SHIFFMAN MAXIE,CYCLOPS/SCOTT SUMMER,KINGPIN/WILSON FISK,OSBORN LIZ ALLAN,SLOAN DR.,BLACK CAT/FELICIA HA,UATU,BANNON LANCE,MUGGINS MAMIE,THINKER,HOCHBERG ROGER,BEYONDER,PUPPET MASTER/PHILLI,MIMIC/CALVIN RANKIN,PROFESSOR X/CHARLES ,MAJESTON ZELIA,KINCAID DR. JANE FO,WHITE TIGER/HECTOR A,LIGHTMASTER/EDWARD L,KRAVEN THE HUNTER/SE,VULTURE/ADRIAN TOOME,MORGAN,HITMAN/LT. BURT KENY,SHA SHAN,HOGAN HAROLD J. HAP,SUB-MARINER/NAMOR MA,THOR/DR. DONALD BLAK,GREEN GOBLIN/NORMAN ,BEAST/HENRY &HANK& P,WASP/JANET VAN DYNE ,INVISIBLE WOMAN/SUE ,BOUNTY II,BLOODY MARY,ANDERSON BAXTER,ANT-MAN/DR. HENRY J.,MR. FANTASTIC/REED R,SANDMAN/WILLIAM BAKE,MASTERS ALICIA REIS,ROSENTHAL BERNIE,CAPTAIN AMERICA,HUMAN TORCH/JOHNNY S,THING/BENJAMIN J. GR,RICHARDS FRANKLIN B,DR. OCTOPUS/OTTO OCT,MYSTERIO/QUENTIN BEC,BIG MAN/FREDERICK FO,FANCY DAN,OX,WARREN MR.,,,,,,,,,,,,,,,,
JUSTICE II/VANCE AST,SPEEDBALL/ROBBIE BAL,NAMORITA/NITA PRENTI,HULK/DR. ROBERT BRUC,NIGHT THRASHER/DUANE,NOVA/RICHARD RIDER,FIRESTAR/ANGELICA JO,WATSON-PARKER MARY ,SPEEDBALL II/DARRION,SPIDER-MAN/PETER PAR,SPIDER-MAN CLONE/BEN,GEE/ALEX POWER,TURBO II (A)/MICHIKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIGRA/GREER NELSON,WASP/JANET VAN DYNE ,GALACTUS/GALAN,MOCKINGBIRD/DR. BARB,SILVER SURFER/NORRIN,HAWK,LORD CHAOS,SCARLET WITCH/WANDA ,IRON MAN/TONY STARK ,QUICKSILVER/PIETRO M,THOR/DR. DONALD BLAK,MOLECULE MAN/OWEN RE,CAPTAIN AMERICA,SOUTHERN CANDY,ANGEL/WARREN KENNETH,JARVIS EDWIN ,THING/BENJAMIN J. GR,INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S,MR. FANTASTIC/REED R,HERCULES [GREEK GOD],VISION ,BLACK PANTHER/T'CHAL,BLACK WIDOW/NATASHA ,ANT-MAN/DR. HENRY J.,MOON KNIGHT/MARC SPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASP/JANET VAN DYNE ,SOUTHERN CANDY,CAPTAIN AMERICA,EGGHEAD/PROF. ELIHAS,STARR TRIXIE TRISH,THOR/DR. DONALD BLAK,JARVIS EDWIN ,IRON MAN/TONY STARK ,HERCULES [GREEK GOD],VISION ,BLACK PANTHER/T'CHAL,BLACK WIDOW/NATASHA ,ANT-MAN/DR. HENRY J.,MOON KNIGHT/MARC SPE,ANGEL/WARREN KENNETH,TIGRA/GREER NELSON,JOCASTA,MOONDRAGON/HEATHER D,DAZZLER II/ALLISON B,BEAST/HENRY &HANK& P,HARDY MORGAN MACNEI,CYCLOPS/SCOTT SUMMER,HOGAN HAROLD J. HAP,THOMPSON EUGENE FLA,SUB-MARINER/NAMOR MA,GREEN GOBLIN/NORMAN ,PARKER MAY,ICEMAN/ROBERT BOBBY ,D'ANGELO LIEUTENANT,MAD VIKING/KNUT CAIN,DELPHI,LOKI [ASGARDIAN],HULK/DR. ROBERT BRUC,JAMESON J. JONAH,WATSON ANNA,KRAVEN THE HUNTER/SE,MR. FANTASTIC/REED R,SANDMAN/WILLIAM BAKE,OSBORN LIZ ALLAN,SPIDER-MAN/PETER PAR,DR. OCTOPUS/OTTO OCT,THING/BENJAMIN J. GR,HUMAN TORCH/JOHNNY S,DAREDEVIL/MATT MURDO,INVISIBLE WOMAN/SUE ,CAPTAIN MARVEL II/MO,SHE-HULK/JENNIFER WA,SCARLET WITCH/WANDA ,STARFOX/EROS,NOVA II/FRANKIE RAYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALACTUS/GALAN,WASP/JANET VAN DYNE ,CAPTAIN AMERICA,THUNDERSTRIKE/ERIC K,NOVA/RICHARD RIDER,NOVA II/FRANKIE RAYE,HUMAN TORCH/JOHNNY S,THING/BENJAMIN J. GR,SCARLET WITCH/WANDA ,RICHARDS FRANKLIN B,DEATH,VISION ,MR. FANTASTIC/REED R,GRIMM JAKE,INVISIBLE WOMAN/SUE ,CAPTAIN MARVEL II/MO,THOR/DR. DONALD BLAK,SHE-HULK/JENNIFER WA,STARFOX/EROS,ANNIHILUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOCKINGBIRD/DR. BARB,WASP/JANET VAN DYNE ,GALACTUS/GALAN,ZARAN/MAXIMILLIAN ZA,SILVER SABLE,HAWK,TRICKSHOT,SWORDSMAN/JACQUES DU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVER SURFER/NORRIN,WASP/JANET VAN DYNE ,GALACTUS/GALAN,MOCKINGBIRD/DR. BARB,CAPTAIN AMERICA,THUNDERSTRIKE/ERIC K,NOVA/RICHARD RIDER,WONDER MAN/SIMON WIL,DEATHLOK III/MICHAEL,OBLIVION,WOLVERINE/LOGAN ,SHE-HULK/JENNIFER WA,THOR/DR. DONALD BLAK,IRON MAN/TONY STARK ,THING/BENJAMIN J. GR,INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S,JARVIS EDWIN ,MOLECULE MAN/OWEN RE,WARLOCK II/ADAM WARL,DR. DOOM/VICTOR VON ,CLEA,BARON BLOOD II/VICTO,AGAMOTTO,DR. STRANGE/STEPHEN ,SILVER DAGGER/ISAIAH,BLESSING MORGANA,OBLITERATOR [ELDER],SHALLA BAL II,CONTEMPLATOR/TATH KI,EMPRESS S'BYLL [SKRU,SUPER SKRULL/KL'RT,RONAN THE ACCUSER [K,MIDNIGHT/M'NAI,SUPREME INTELLIGENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAWK,WASP/JANET VAN DYNE ,GALACTUS/GALAN,MOCKINGBIRD/DR. BARB,SILVER SURFER/NORRIN,CHAIN,SPIDER-WOMAN II/JULI,CARPENTER RACHEL,IRON MAN/TONY STARK ,IRON MAN IV/JAMES R.,GRASP,CLEMSON MIKE,HERCULES [GREEK GOD],JARVIS EDWIN ,VISION ,BLACK PANTHER/T'CHAL,BLACK WIDOW/NATASHA ,ANT-MAN/DR. HENRY J.,MOON KNIGHT/MARC SPE,CAPTAIN AMERICA,ANGEL/WARREN KENNETH,THOR/DR. DONALD BLAK,TIGRA/GREER NELSON,JOCASTA,MOONDRAGON/HEATHER D,DAZZLER II/ALLISON B,WONDER MAN/SIMON WIL,SCARLET WITCH/WANDA ,ZARAN/MAXIMILLIAN ZA,SILVER SABLE,TRICKSHOT,SANDMAN/WILLIAM BAKE,PEREGRINE LE/FRANCK,RED SKULL II/ALBERT ,VOLLA,CASE COL. PRESTON,PERRIKUS,BRADLEY HANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORD CHAOS,WASP/JANET VAN DYNE ,GALACTUS/GALAN,MOCKINGBIRD/DR. BARB,SILVER SURFER/NORRIN,HAWK,CAPTAIN AMERICA,THUNDERSTRIKE/ERIC K,NOVA/RICHARD RIDER,WONDER MAN/SIMON WIL,DEATHLOK III/MICHAEL,OBLIVION,WOLVERINE/LOGAN ,SHE-HULK/JENNIFER WA,VISION ,PSYLOCKE/ELISABETH B,MARVEL GIRL/JEAN GRE,STORM/ORORO MUNROE S,ETERNITY/ADAM QADMON,KISMET/J'RIDIA STARD,NIGHT THRASHER/DUANE,IN-BETWEENER,MR. FANTASTIC/REED R,ANGEL/WARREN KENNETH,DEATH,MASTER ORDER,IRON MAN/TONY STARK ,BLACK PANTHER/T'CHAL,SCARLET WITCH/WANDA ,JUBILEE/JUBILATION L,THING/BENJAMIN J. GR,INVISIBLE WOMAN/SUE ,WHIZZER II/STANLEY S,ARCANNA/ARCANNA JONE,MAKKARI/MIKE KHARY/I,KRONOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCARLET WITCH/WANDA ,WASP/JANET VAN DYNE ,GALACTUS/GALAN,MOCKINGBIRD/DR. BARB,SILVER SURFER/NORRIN,HAWK,LORD CHAOS,CAPTAIN AMERICA,THUNDERSTRIKE/ERIC K,NOVA/RICHARD RIDER,WONDER MAN/SIMON WIL,DEATHLOK III/MICHAEL,OBLIVION,WOLVERINE/LOGAN ,SHE-HULK/JENNIFER WA,VISION ,PSYLOCKE/ELISABETH B,MARVEL GIRL/JEAN GRE,STORM/ORORO MUNROE S,ETERNITY/ADAM QADMON,KISMET/J'RIDIA STARD,NIGHT THRASHER/DUANE,IN-BETWEENER,MR. FANTASTIC/REED R,ANGEL/WARREN KENNETH,DEATH,MASTER ORDER,IRON MAN/TONY STARK ,BLACK PANTHER/T'CHAL,HERCULES [GREEK GOD],JARVIS EDWIN ,BLACK WIDOW/NATASHA ,ANT-MAN/DR. HENRY J.,MOON KNIGHT/MARC SPE,THOR/DR. DONALD BLAK,TIGRA/GREER NELSON,JOCASTA,MOONDRAGON/HEATHER D,DAZZLER II/ALLISON B,BEAST/HENRY &HANK& P,TOPAZ,DR. STRANGE/STEPHEN ,WONG,CLEA,PIP/PRINCE GOFERN,DR. DOOM/VICTOR VON ,RINTRAH,HULK/DR. ROBERT BRUC,DRAX/ARTHUR DOUGLAS,HELA [ASGARDIAN],PUPPET MASTER/PHILLI,MIMIC/CALVIN RANKIN,PROFESSOR X/CHARLES ,CYCLOPS/SCOTT SUMMER,SPIDER-MAN/PETER PAR,VOLLA,CASE COL. PRESTON,PERRIKUS,BRADLEY HANK,COLLINS DEMITRIUS,KINCAID DR. JANE FO,NOVA II/FRANKIE RAYE,HUMAN TORCH/JOHNNY S,THING/BENJAMIN J. GR,CAPTAIN MARVEL II/MO,STINGER II/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUICKSILVER/PIETRO M,WASP/JANET VAN DYNE ,GALACTUS/GALAN,MOCKINGBIRD/DR. BARB,SILVER SURFER/NORRIN,HAWK,LORD CHAOS,SCARLET WITCH/WANDA ,IRON MAN/TONY STARK ,LOCKJAW [INHUMAN],PUPPET MASTER/PHILLI,MIMIC/CALVIN RANKIN,PROFESSOR X/CHARLES ,CYCLOPS/SCOTT SUMMER,SPIDER-MAN/PETER PAR,ZELDA,ICEMAN/ROBERT BOBBY ,MARVEL GIRL/JEAN GRE,ANGEL/WARREN KENNETH,CANTOR VERA,POWER PRINCESS/ZARDA,ARCANNA/ARCANNA JONE,FLASH/BARRY ALLEN/BU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UATU,CAPTAIN AMERICA,THUNDERSTRIKE/ERIC K,NOVA/RICHARD RIDER,GALACTUS/GALAN,WONDER MAN/SIMON WIL,DEATHLOK III/MICHAEL,OBLIVION,WOLVERINE/LOGAN ,SHE-HULK/JENNIFER WA,SILVER SURFER/NORRIN,VISION ,PSYLOCKE/ELISABETH B,MARVEL GIRL/JEAN GRE,STORM/ORORO MUNROE S,ETERNITY/ADAM QADMON,KISMET/J'RIDIA STARD,NIGHT THRASHER/DUANE,IN-BETWEENER,MR. FANTASTIC/REED R,ANGEL/WARREN KENNETH,DEATH,MASTER ORDER,IRON MAN/TONY STARK ,BLACK PANTHER/T'CHAL,SCARLET WITCH/WANDA ,JUBILEE/JUBILATION L,THING/BENJAMIN J. GR,INVISIBLE WOMAN/SUE ,LORD CHAOS,INFINITY II,PUNISHER II/FRANK CA,HULK/DR. ROBERT BRUC,ANDROMEDA/ANDROMEDA ,BEAST/HENRY &HANK& P,GHOST RIDER III/DAN ,CYCLOPS/SCOTT SUMMER,SPEEDBALL/ROBBIE BAL,HUMAN TORCH/JOHNNY S,DEVLOR,VIBRAXAS/N'KANO,RICHARDS NATHANIEL,PSI-LORD/FRANKLIN BE,ANT-MAN II/SCOTT HAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPTAIN AMERICA,THOR/DR. DONALD BLAK,IRON MAN/TONY STARK ,SILVER SURFER/NORRIN,MOLECULE MAN/OWEN RE,SOUTHERN CANDY,WASP/JANET VAN DYNE ,ANGEL/WARREN KENNETH,JARVIS EDWIN ,TIGRA/GREER NELSON,GHOST RIDER II/JOHNN,ANT-MAN/DR. HENRY J.,THING/BENJAMIN J. GR,HERCULES [GREEK GOD],VISION ,BLACK PANTHER/T'CHAL,BLACK WIDOW/NATASHA ,MOON KNIGHT/MARC SPE,BEAST/HENRY &HANK& P,BUCKY/BUCKY BARNES,DEAN BETTY,SUB-MARINER/NAMOR MA,U-MAN/MERRANO,TORO/TOM RAYMOND,WHIZZER/ROBERT L. FR,RED SKULL/JOHANN SCH,BARON STRUCKER/WOLFG,PRENTISS BETTY DEAN,HUMAN TORCH ANDROID/,HORTON PROFESSOR PH,FITZPATRICK WILL,UNION JACK II/BRIAN ,MISS AMERICA/MADELIN,THIN MAN/BRUCE DICKS,RED RAVEN,KRIEGHUND COL.,PATRIOT/JEFF MACE,UNION JACK/LORD MONT,BARON BLOOD/JOHN FAL,DRACULA/VLAD TEPES,SPITFIRE/LADY JACQUE,VOLLA,CASE COL. PRESTON,PERRIKUS,BRADLEY HANK,HAWK,COLLINS DEMITRIUS,KINCAID DR. JANE FO,HELA [ASGARDIAN],SCARLET WITCH/WANDA ,DESTROYER III,FAIRMONT HANNAH,LOKI [ASGARDIAN],FAIRMONT AMANDA MAN,FERRARI CONNIE,CHAKARA KANU,CHAKARA MADAN,MOSLEY WARDEN,KLINE MR.,NIGHT PHANTOM II,RODGERS MARIANNE,KA-ZAR/KEVIN PLUNDER,BILLUPS AGENT,PROTOCIDE/PRIVATE CL,ZABU,PLUNDER ADAM KYLE M,MANNING DR.,COUNT NEFARIA LUCHI,RAMIREZ JAVIER,CYCLOPS/SCOTT SUMMER,HOGAN HAROLD J. HAP,THOMPSON EUGENE FLA,GREEN GOBLIN/NORMAN ,PARKER MAY,ICEMAN/ROBERT BOBBY ,SPIDER-MAN/PETER PAR,DR. STRANGE/STEPHEN ,WONG,HULK/DR. ROBERT BRUC,INVISIBLE WOMAN/SUE ,MR. FANTASTIC/REED R,OSBORN LIZ ALLAN,HUMAN TORCH/JOHNNY S,HUNTER LANCE,CAPTAIN BRITAIN/BRIA,BRADDOCK JAMES JR. ,PSYLOCKE/ELISABETH B,CALLAGHAN JAMES,FURY COL. NICHOLAS ,JAMESON J. JONAH,WATSON ANNA,KRAVEN THE HUNTER/SE,SANDMAN/WILLIAM BAKE,DR. OCTOPUS/OTTO OCT,DAREDEVIL/MATT MURDO,LEEDS NED,MASTERS ALICIA REIS,ROSENTHAL BERNIE,CAPTAIN MARVEL II/MO,SHE-HULK/JENNIFER WA,STARFOX/EROS,NOVA II/FRANKIE RAYE,LOCKHEED,KNIGHT ERRANT/MATSON,ICON/DR. U'MBAYA A'K,NIGHTCRAWLER/KURT WA,THOMAS COMMANDER DA,MEGGAN,WONDER MAN/SIMON WIL,MANIPULATOR/,NIGHTMARE/EDVARD HAB,CARTER SHARON,DUGAN TIMOTHY ALOYI
THUNDERSTRIKE/ERIC K,CAPTAIN AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WONDER MAN/SIMON WIL,CAPTAIN AMERICA,THUNDERSTRIKE/ERIC K,NOVA/RICHARD RIDER,GALACTUS/GALAN,HERCULES [GREEK GOD],JARVIS EDWIN ,VISION ,BLACK PANTHER/T'CHAL,IRON MAN/TONY STARK ,BLACK WIDOW/NATASHA ,ANT-MAN/DR. HENRY J.,MOON KNIGHT/MARC SPE,ANGEL/WARREN KENNETH,THOR/DR. DONALD BLAK,TIGRA/GREER NELSON,JOCASTA,MOONDRAGON/HEATHER D,DAZZLER II/ALLISON B,WASP/JANET VAN DYNE ,BEAST/HENRY &HANK& P,QUASAR III/WENDELL V,USAGENT/CAPTAIN JOHN,MEGGAN,NIGHTCRAWLER/KURT WA,TANAKA KENJIRO,BALLANTINE KAYLA,MAKKARI/MIKE KHARY/I,WIDGET,MODRED THE MYSTIC,REJECT/RAN-SAK [DEVI,KRO [DEVIANT],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEATHLOK III/MICHAEL,CAPTAIN AMERICA,THUNDERSTRIKE/ERIC K,NOVA/RICHARD RIDER,GALACTUS/GALAN,WONDER MAN/SIMON WIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBLIVION,CAPTAIN AMERICA,THUNDERSTRIKE/ERIC K,NOVA/RICHARD RIDER,GALACTUS/GALAN,WONDER MAN/SIMON WIL,DEATHLOK III/MICHAEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOLVERINE/LOGAN ,CAPTAIN AMERICA,THUNDERSTRIKE/ERIC K,NOVA/RICHARD RIDER,GALACTUS/GALAN,WONDER MAN/SIMON WIL,DEATHLOK III/MICHAEL,OBLIVION,ROGUE /,RANSOME JENNIFER AM,MALICE IV,COLOSSUS II/PETER RA,HAVOK/ALEX SUMMERS ,SUMMERS MADELYNE MA,SUMMERS NATHAN CHRI,STORM/ORORO MUNROE S,POLARIS/LORNA DANE,PSYLOCKE/ELISABETH B,MR. SINISTER/NATHAN ,DAZZLER II/ALLISON B,N'ASTIRH,LONGSHOT,TILBY TRISH/PATRICI,CYCLOPS/SCOTT SUMMER,CONOVER HANNAH,GATEWAY,WARLOCK III,SUNSPOT/ROBERTO DACO,MAGIK/ILLYANA RASPUT,MAGNETO/MAGNUS/ERIC ,CANNONBALL II/SAM GU,MIRAGE II/DANIELLE M,MAGOG II,ARIZE,QUARK,MOJO,GAMBIT/REMY LEBEAU ,PROFESSOR X/CHARLES ,MAJOR DOMO,NIGHTCRAWLER/KURT WA,VANISHER,HERCULES [GREEK GOD],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHE-HULK/JENNIFER WA,CAPTAIN AMERICA,THUNDERSTRIKE/ERIC K,NOVA/RICHARD RIDER,GALACTUS/GALAN,WONDER MAN/SIMON WIL,DEATHLOK III/MICHAEL,OBLIVION,WOLVERINE/LOGAN ,CAPTAIN MARVEL II/MO,THOR/DR. DONALD BLAK,MR. FANTASTIC/REED R,THING/BENJAMIN J. GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISION ,CAPTAIN AMERICA,THUNDERSTRIKE/ERIC K,NOVA/RICHARD RIDER,GALACTUS/GALAN,WONDER MAN/SIMON WIL,DEATHLOK III/MICHAEL,OBLIVION,WOLVERINE/LOGAN ,SHE-HULK/JENNIFER WA,SILVER SURFER/NORRIN,HERCULES [GREEK GOD],JARVIS EDWIN ,BEAST/HENRY &HANK& P,IRON MAN/TONY STARK ,WASP/JANET VAN DYNE ,NOVA II/FRANKIE RAYE,HUMAN TORCH/JOHNNY S,THING/BENJAMIN J. GR,SCARLET WITCH/WANDA ,RICHARDS FRANKLIN B,DEATH,CAPTAIN MARVEL II/MO,THOR/DR. DONALD BLAK,INVISIBLE WOMAN/SUE ,STARFOX/EROS,ANNIHILUS,MR. FANTASTIC/REED R,STINGER II/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSYLOCKE/ELISABETH B,CAPTAIN AMERICA,THUNDERSTRIKE/ERIC K,NOVA/RICHARD RIDER,GALACTUS/GALAN,WONDER MAN/SIMON WIL,DEATHLOK III/MICHAEL,OBLIVION,WOLVERINE/LOGAN ,SHE-HULK/JENNIFER WA,SILVER SURFER/NORRIN,VISION ,ROGUE /,RANSOME JENNIFER AM,MOREAU PHILLIP,STORM/ORORO MUNROE S,MALICE IV,COLOSSUS II/PETER RA,HAVOK/ALEX SUMMERS ,SUMMERS MADELYNE MA,SUMMERS NATHAN CHRI,POLARIS/LORNA DANE,LONGSHOT,CONOVER HANNAH,GATEWAY,WARLOCK III,SUNSPOT/ROBERTO DACO,DAZZLER II/ALLISON B,MAGIK/ILLYANA RASPUT,MAGNETO/MAGNUS/ERIC ,CANNONBALL II/SAM GU,MIRAGE II/DANIELLE M,MOREAU DAVID,S'YM,CONOVER REV. WILLIA,TILBY TRISH/PATRICI,PIPELINE/CORMICK GRI,PUNCHOUT,HAWKSHAW,RED SKULL/JOHANN SCH,HUNTER LANCE,CAPTAIN BRITAIN/BRIA,BRADDOCK JAMES JR. ,DR. SYNNE,ROSS COURTNEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
